dup_class4	n_total	n_primate	n_mammal	n_amniote–tetrapod	n_2R vertebrate	n_chordate (pre-2R)	n_bilaterian	n_ancient (pre-metazoan)	n_no paralog node	frac_primate	frac_mammal	frac_amniote–tetrapod	frac_2R vertebrate	frac_chordate (pre-2R)	frac_bilaterian	frac_ancient (pre-metazoan)	frac_no paralog node
dispersed_ohnolog	524	4	0	0	58	22	344	78	18	0.007633587786259542	0.0	0.0	0.11068702290076336	0.04198473282442748	0.6564885496183206	0.14885496183206107	0.03435114503816794
clustered_cis_ohnolog	106	1	2	0	14	0	78	6	5	0.009433962264150943	0.018867924528301886	0.0	0.1320754716981132	0.0	0.7358490566037735	0.05660377358490566	0.04716981132075472
clustered_SSD_tandem	73	8	2	0	9	0	44	4	6	0.1095890410958904	0.0273972602739726	0.0	0.1232876712328767	0.0	0.6027397260273972	0.0547945205479452	0.0821917808219178
dispersed_SSD	450	20	8	1	33	13	229	68	78	0.044444444444444446	0.017777777777777778	0.0022222222222222222	0.07333333333333333	0.028888888888888888	0.5088888888888888	0.1511111111111111	0.17333333333333334
