dup_class4	n_total	n_before_R1	n_R1_to_R2	n_after_R2	n_human_only	frac_before_R1	frac_R1_to_R2	frac_after_R2	frac_human_only
dispersed_ohnolog	524	378	72	69	5	0.7213740458015268	0.13740458015267176	0.1316793893129771	0.009541984732824428
clustered_cis_ohnolog	106	63	25	13	5	0.5943396226415094	0.2358490566037736	0.12264150943396226	0.04716981132075472
clustered_SSD_tandem	73	38	4	22	9	0.5205479452054794	0.0547945205479452	0.3013698630136986	0.1232876712328767
dispersed_SSD	450	266	60	105	19	0.5911111111111111	0.13333333333333333	0.23333333333333334	0.042222222222222223
