test	OR	ci_lo	ci_hi	p	rate1	rate2	note	n	fdr_bh
onevsrest__dispersed_ohnolog	5.83460018242627	3.6394524691974453	9.353758450450536	2.2917643693286764e-16	0.18129770992366412	0.03656597774244833	95/524 vs 23/629	524	9.167057477314706e-16
onevsrest__clustered_cis_ohnolog	1.3798076923076923	0.759046783283526	2.508237054263793	0.3112342333549677	0.1320754716981132	0.09933142311365807	14/106 vs 104/1047	106	0.3112342333549677
onevsrest__clustered_SSD_tandem	0.05525416917821981	0.0034012235991544696	0.8976249642435467	0.0004751039239456542	0.0	0.10925925925925926	0/73 vs 118/1080	73	0.0006334718985942056
onevsrest__dispersed_SSD	0.11121512825313612	0.05573572548197761	0.22191878988569042	6.58475489475715e-16	0.02	0.155049786628734	9/450 vs 109/703	450	1.31695097895143e-15
buffered_clustered_vs_unbuffered_dispersed	0.7097902097902098	0.39650990540946296	1.2705915666691099	0.2842346993313124	0.0782122905027933	0.10677618069815195	14/179 vs 104/974	1153	
ohnolog_vs_SSD	11.948389848581787	5.989398876141013	23.8361182692971	5.8079815683388884e-21	0.173015873015873	0.017208413001912046	109/630 vs 9/523	1153	
alpha_vs_beta	1.3480034349506227	0.7537786767502955	2.4106721464616774	0.39923721732229833	0.20116618075801748	0.1574074074074074	69/343 vs 17/108	451	
preR1_ancient_vs_younger	1.3361674579197238	0.8824085988747083	2.0232616475864087	0.1870539638303561	0.11140939597315436	0.0857843137254902	83/745 vs 35/408	1153	
