gene	dup_class4	provenance	arrangement	TF_subfamily	cluster_id	breadth_CD14_Mono	breadth_CD16_Mono	breadth_Mono	breadth_cDC	breadth_pDC	breadth_Granulocyte	breadth_B_cell	breadth_Naive_B_cell	breadth_Intermediate_B_cell	breadth_Plasmablast	breadth_CD4_T_cell	breadth_CD4_Naive_T_cell	breadth_CD4_Memory_T_cell	breadth_Treg	breadth_CD8_T_cell	breadth_CD8_Naive_T_cell	breadth_CD8_Memory_T_cell	breadth_MAIT	breadth_NKT	breadth_NK	breadth_NK_CD56hi	breadth_NK_CD56low	breadth_ILC	breadth_HSPC	total_events	n_response_celltypes	is_responder
ZNF672	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF692	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF771	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF775	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF784	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF837	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF865	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZSCAN1	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZSCAN12	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZSCAN16	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZSCAN18	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	3	2	True
ZSCAN23	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZSCAN30	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0062	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	True
ZSCAN31	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZSCAN32	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZSCAN5A	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0063	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	True
ZSCAN5B	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZSCAN5C	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
DMRT1	clustered_SSD_tandem	SSD	clustered	DM	clust0029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
DMRT2	clustered_SSD_tandem	SSD	clustered	DM	clust0029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
DMRT3	clustered_SSD_tandem	SSD	clustered	DM	clust0029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
FOXC2	clustered_SSD_tandem	SSD	clustered	Forkhead	clust0035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
FOXL1	clustered_SSD_tandem	SSD	clustered	Forkhead	clust0035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
GTF2I	clustered_SSD_tandem	SSD	clustered	GTF2I-like	clust0037	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	True
GTF2IRD1	clustered_SSD_tandem	SSD	clustered	GTF2I-like	clust0037	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	True
HSFY1	clustered_SSD_tandem	SSD	clustered	HSF	clust0038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
HSFY2	clustered_SSD_tandem	SSD	clustered	HSF	clust0038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
NANOG	clustered_SSD_tandem	SSD	clustered	Homeodomain	clust0042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
NANOGNB	clustered_SSD_tandem	SSD	clustered	Homeodomain	clust0042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
RHOXF1	clustered_SSD_tandem	SSD	clustered	Homeodomain	clust0055	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	1	0	2	11	7	True
RHOXF2	clustered_SSD_tandem	SSD	clustered	Homeodomain	clust0055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
RHOXF2B	clustered_SSD_tandem	SSD	clustered	Homeodomain	clust0055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
SP100	clustered_SSD_tandem	SSD	clustered	SAND	clust0060	2	0	1	2	0	2	0	0	0	0	1	1	2	0	1	1	1	1	0	0	0	0	0	1	16	12	True
SP110	clustered_SSD_tandem	SSD	clustered	SAND	clust0060	2	0	2	3	0	3	0	0	0	0	1	0	2	1	1	0	2	2	1	0	1	0	0	2	23	13	True
SP140	clustered_SSD_tandem	SSD	clustered	SAND	clust0060	8	3	7	3	1	0	0	0	0	0	2	4	2	2	2	3	1	1	0	1	0	1	0	0	41	15	True
SP140L	clustered_SSD_tandem	SSD	clustered	SAND	clust0060	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	True
FERD3L	clustered_SSD_tandem	SSD	clustered	bHLH	clust0075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
MESP1	clustered_SSD_tandem	SSD	clustered	bHLH	clust0073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
MESP2	clustered_SSD_tandem	SSD	clustered	bHLH	clust0073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
OLIG1	clustered_SSD_tandem	SSD	clustered	bHLH	clust0074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
OLIG2	clustered_SSD_tandem	SSD	clustered	bHLH	clust0074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
SOHLH2	clustered_SSD_tandem	SSD	clustered	bHLH	clust0072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
TWIST1	clustered_SSD_tandem	SSD	clustered	bHLH	clust0075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
TFAP2B	clustered_cis_ohnolog	ohnolog	clustered	AP-2	clust0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
TFAP2D	clustered_cis_ohnolog	ohnolog	clustered	AP-2	clust0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
GLI4	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	True
KLF12	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0008	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	True
KLF5	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0008	0	0	0	7	0	1	0	0	0	0	4	5	4	0	0	0	0	0	0	0	0	0	0	0	21	5	True
SALL4	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	True
SP1	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
SP2	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
SP4	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
SP6	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
SP7	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
SP8	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
TSHZ2	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0021	5	1	4	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	5	0	2	1	26	9	True
TSHZ3	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0017	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	1	1	0	0	13	7	True
ZBTB8A	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0002	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	True
ZBTB8B	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZFP41	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZFP64	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0021	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	True
ZFPM1	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZIC1	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZIC2	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZIC4	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
